SNR_dB,Avg_QoE_sys_Proposed,Avg_QoE_sys_OMA,Avg_QoE_sys_NOMA,Avg_QoE_sys_CR_NOMA,PU_Outage_Proposed,PU_Outage_OMA,PU_Outage_NOMA,PU_Outage_CR_NOMA,SU_Outage_Proposed,SU_Outage_OMA,SU_Outage_NOMA,SU_Outage_CR_NOMA,Feasible_Count_Proposed,Feasible_Count_OMA,Feasible_Count_NOMA,Feasible_Count_CR_NOMA
0.0,33.233760128362746,23.800797031582178,19.833525268802042,,0.799,0.97,0.829,0.799,0.975,0.992,0.844,1.0,25,8,156,0
2.0,33.69968532697576,26.02593107957066,22.41700746357616,32.357020735954556,0.622,0.904,0.715,0.622,0.916,0.942,0.709,0.999,84,58,291,1
4.0,33.98120288728831,28.253868890080778,24.883936888733864,32.529254784973055,0.45,0.789,0.704,0.45,0.764,0.831,0.515,0.998,236,169,485,2
6.0,34.51307987898001,30.67844215780167,27.137765780174202,32.68863454362693,0.32,0.635,0.729,0.32,0.594,0.679,0.385,0.953,406,321,615,47
8.0,35.034165086518485,32.13256785411484,28.471919815514784,32.75642718971133,0.223,0.465,0.733,0.223,0.436,0.492,0.256,0.85,564,508,744,150
10.0,35.54748017716162,33.09717435057596,29.619474533412788,32.866513966801165,0.156,0.339,0.688,0.156,0.347,0.377,0.21,0.773,653,623,790,227
12.0,36.38334112149057,34.96805247724548,30.978095117610696,32.9918556471189,0.086,0.196,0.56,0.086,0.212,0.25,0.141,0.558,788,750,859,442
14.0,36.972914246661986,35.714750316279655,31.528781930423914,33.1117057265031,0.064,0.144,0.455,0.064,0.152,0.168,0.106,0.452,848,832,894,548
16.0,37.72484962821757,36.813331266285864,32.04080572349167,33.22045459213149,0.038,0.078,0.346,0.038,0.109,0.116,0.082,0.334,891,884,918,666
18.0,38.458382318071884,37.628109194482505,32.37784297730192,33.31591447279203,0.027,0.066,0.25,0.027,0.074,0.07,0.06,0.238,926,930,940,762
20.0,39.11529116122949,38.453221966395354,32.64685722941949,33.38515234013266,0.015,0.044,0.198,0.015,0.06,0.049,0.057,0.182,940,951,943,818
22.0,39.74348899384204,39.251992044892575,32.879779325728855,33.463718160208174,0.006,0.025,0.142,0.006,0.028,0.019,0.038,0.143,972,981,962,857
24.0,40.38492271456868,39.93449283365654,32.938556021263544,33.519817505968206,0.003,0.017,0.119,0.003,0.038,0.022,0.05,0.149,962,978,950,851
26.0,41.12812244054299,40.629078805800205,33.037704913485854,33.565909788351185,0.005,0.013,0.083,0.005,0.026,0.008,0.039,0.104,974,992,961,896
28.0,41.73365826188149,41.27708674030821,33.06730472793235,33.602390554991054,0.003,0.007,0.085,0.003,0.035,0.006,0.05,0.122,965,994,950,878
30.0,42.41059931278553,41.9633048932886,33.14067972273336,33.63272395769958,0.001,0.003,0.076,0.001,0.02,0.003,0.037,0.105,980,997,963,895
